#NettingSetId,Sample,PosExpNoColl,NegExpNoColl,PosExpWithColl,NegExpWithColl
CPTY_A,493,2673.5931,-484999.3433,2673.5931,-484999.3433
CPTY_A,494,1539641.4999,-32763.3521,1539641.4999,-32763.3521
CPTY_A,495,826026.3305,-74460.4484,826026.3305,-74460.4484
CPTY_A,496,970197.5251,-43660.8732,970197.5251,-43660.8732
CPTY_A,497,36905.4674,-333100.8485,36905.4674,-333100.8485
CPTY_A,498,83455.7711,-430807.1125,83455.7711,-430807.1125
CPTY_A,499,865951.7316,-19052.7603,865951.7316,-19052.7603
CPTY_A,500,13949.4657,-929387.1253,13949.4657,-929387.1253
CPTY_A,501,26603.9602,-581623.5862,26603.9602,-581623.5862
CPTY_A,502,669620.7405,-23816.4982,669620.7405,-23816.4982
CPTY_A,503,330063.5477,-44459.6473,330063.5477,-44459.6473
CPTY_A,504,21869.5960,-539099.7743,21869.5960,-539099.7743
CPTY_A,505,370414.3639,-180141.0896,370414.3639,-180141.0896
CPTY_A,506,353174.5326,-89631.1296,353174.5326,-89631.1296
CPTY_A,507,280377.0877,-124784.4493,280377.0877,-124784.4493
CPTY_A,508,20420.5932,-820214.9993,20420.5932,-820214.9993
CPTY_A,509,34346.0884,-318004.9442,34346.0884,-318004.9442
CPTY_A,510,2938475.3875,-36615.5985,2938475.3875,-36615.5985
CPTY_A,511,1192783.1182,0.0000,1192783.1182,0.0000
CPTY_A,512,3672.9040,-511440.2743,3672.9040,-511440.2743
CPTY_A,513,141130.7947,-281994.8721,141130.7947,-281994.8721
CPTY_A,514,259836.1007,-49867.0591,259836.1007,-49867.0591
CPTY_A,515,351057.3290,-204695.2720,351057.3290,-204695.2720
CPTY_A,516,37968.3024,-590100.9624,37968.3024,-590100.9624
CPTY_A,517,177933.3698,-296498.0543,177933.3698,-296498.0543
CPTY_A,518,1957153.3136,-670.1278,1957153.3136,-670.1278
CPTY_A,519,175540.2368,-171020.0815,175540.2368,-171020.0815
CPTY_A,520,744050.9574,-164150.0243,744050.9574,-164150.0243
CPTY_A,521,14188.7493,-724425.4080,14188.7493,-724425.4080
CPTY_A,522,38436.8309,-752871.6241,38436.8309,-752871.6241
CPTY_A,523,751669.2516,-67776.3975,751669.2516,-67776.3975
CPTY_A,524,24587.5081,-822797.7694,24587.5081,-822797.7694
CPTY_A,525,190057.6384,-577939.3072,190057.6384,-577939.3072
CPTY_A,526,1362559.6987,-8025.1330,1362559.6987,-8025.1330
CPTY_A,527,196971.7887,-133584.4212,196971.7887,-133584.4212
CPTY_A,528,257326.6682,-148329.1558,257326.6682,-148329.1558
CPTY_A,529,420403.6008,-152785.7573,420403.6008,-152785.7573
CPTY_A,530,138940.1619,-386471.3474,138940.1619,-386471.3474
CPTY_A,531,126771.7271,-148739.5763,126771.7271,-148739.5763
CPTY_A,532,29723.5706,-1078376.6578,29723.5706,-1078376.6578
CPTY_A,533,5627.9903,-653955.5881,5627.9903,-653955.5881
CPTY_A,534,1472313.0833,-28467.8942,1472313.0833,-28467.8942
CPTY_A,535,584482.8598,-19694.0067,584482.8598,-19694.0067
CPTY_A,536,410590.6622,-34528.7008,410590.6622,-34528.7008
CPTY_A,537,16104.8286,-635400.8239,16104.8286,-635400.8239
CPTY_A,538,509358.5172,-135160.0098,509358.5172,-135160.0098
CPTY_A,539,620436.7094,-27278.3226,620436.7094,-27278.3226
CPTY_A,540,11735.9245,-488892.0650,11735.9245,-488892.0650
CPTY_A,541,19658.6583,-864722.8473,19658.6583,-864722.8473
CPTY_A,542,1189339.8536,-157387.7571,1189339.8536,-157387.7571
CPTY_A,543,713112.5180,-29805.5934,713112.5180,-29805.5934
CPTY_A,544,246896.1140,-144103.9574,246896.1140,-144103.9574
CPTY_A,545,77460.6970,-432506.4734,77460.6970,-432506.4734
CPTY_A,546,134329.1319,-95906.0434,134329.1319,-95906.0434
CPTY_A,547,162410.7244,-182843.1412,162410.7244,-182843.1412
CPTY_A,548,9537.6143,-1035849.2216,9537.6143,-1035849.2216
CPTY_A,549,209629.3269,-362080.3209,209629.3269,-362080.3209
CPTY_A,550,1764098.1469,-15764.9137,1764098.1469,-15764.9137
CPTY_A,551,101360.8755,-320508.8978,101360.8755,-320508.8978
CPTY_A,552,138030.0649,-162681.0637,138030.0649,-162681.0637
CPTY_A,553,5655.0436,-734805.6063,5655.0436,-734805.6063
CPTY_A,554,538.5098,-940950.8231,538.5098,-940950.8231
CPTY_A,555,1107690.9653,-26394.8160,1107690.9653,-26394.8160
