#Sample,Regressor_0_NPV,RegressionDIM,LocalDIM,ExpectedDIM,ZeroOrderDIM,DeltaNPV,SimpleDIM
124,-25919425.054688,4337014.800031,0.000000,4269377.940273,4292223.530471,4290466.894924,4043089.805071
125,-25895457.636719,4339924.115754,0.000000,4269377.940273,4292223.530471,633132.144293,4043089.805071
126,-25858056.910156,4344477.142812,0.000000,4269377.940273,4292223.530471,826002.030624,4043089.805071
127,-25758395.289063,4356687.147499,0.000000,4269377.940273,4292223.530471,-590659.419483,4043089.805071
128,-25755099.845703,4357092.806453,0.000000,4269377.940273,4292223.530471,-1224114.122599,4043089.805071
129,-25752612.079590,4357399.123952,0.000000,4269377.940273,4292223.530471,-2479736.396217,4043089.805071
130,-25685616.695313,4365674.431247,0.000000,4269377.940273,4292223.530471,2494439.844650,4043089.805071
131,-25669478.150391,4367675.405275,0.000000,4269377.940273,4292223.530471,-2129496.516546,4043089.805071
132,-25651800.082031,4369870.607068,0.000000,4269377.940273,4292223.530471,-3255533.960932,4043089.805071
133,-25632276.583984,4372299.027569,0.000000,4269377.940273,4292223.530471,1945247.132532,4043089.805071
134,-25625733.197266,4373113.875610,0.000000,4269377.940273,4292223.530471,876776.839802,4043089.805071
135,-25593879.070313,4377087.487204,0.000000,4269377.940273,4292223.530471,-3572163.035897,4043089.805071
136,-25593218.427734,4377170.017993,0.000000,4269377.940273,4292223.530471,362070.582257,4043089.805071
137,-25568776.796875,4380226.799315,0.000000,4269377.940273,4292223.530471,-433364.616482,4043089.805071
138,-25542159.452637,4383563.227669,0.000000,4269377.940273,4292223.530471,-36142.139465,4043089.805071
139,-25395459.078125,4402092.122816,0.000000,4269377.940273,4292223.530471,4064896.885926,4043089.805071
140,-25349696.806641,4407920.395196,0.000000,4269377.940273,4292223.530471,-1248712.716070,4043089.805071
141,-25326468.809570,4410887.440766,0.000000,4269377.940273,4292223.530471,607830.014651,4043089.805071
142,-25290886.302246,4415443.968659,0.000000,4269377.940273,4292223.530471,2057869.431527,4043089.805071
143,-25230543.755859,4423202.491201,0.000000,4269377.940273,4292223.530471,-1263924.404239,4043089.805071
144,-25211259.650391,4425690.224820,0.000000,4269377.940273,4292223.530471,899390.894979,4043089.805071
145,-25209161.257813,4425961.168157,0.000000,4269377.940273,4292223.530471,512136.365694,4043089.805071
146,-25132486.792969,4435893.757229,0.000000,4269377.940273,4292223.530471,-583821.039554,4043089.805071
147,-25070298.883789,4443995.890231,0.000000,4269377.940273,4292223.530471,3650965.517759,4043089.805071
148,-24911812.227539,4464829.624096,0.000000,4269377.940273,4292223.530471,-1903767.087209,4043089.805071
149,-24700874.140625,4492966.061536,0.000000,4269377.940273,4292223.530471,-1805987.937012,4043089.805071
150,-24558465.700195,4512220.834970,0.000000,4269377.940273,4292223.530471,-1810363.483758,4043089.805071
151,-24536194.013672,4515250.836218,0.000000,4269377.940273,4292223.530471,2299815.023988,4043089.805071
152,-24518129.523438,4517712.152577,0.000000,4269377.940273,4292223.530471,229584.120028,4043089.805071
153,-24349983.468750,4540780.001459,0.000000,4269377.940273,4292223.530471,-756165.432212,4043089.805071
154,-24335405.213806,4542793.315895,0.000000,4269377.940273,4292223.530471,-1941159.474187,4043089.805071
155,-24277314.736328,4550836.814604,0.000000,4269377.940273,4292223.530471,-2839485.270765,4043089.805071
156,-24220487.160156,4558737.766504,0.000000,4269377.940273,4292223.530471,83244.224289,4043089.805071
157,-24179742.775391,4564422.194078,0.000000,4269377.940273,4292223.530471,2273928.794939,4043089.805071
158,-24092506.541016,4576647.586923,0.000000,4269377.940273,4292223.530471,-2336686.070993,4043089.805071
159,-23968753.398438,4594117.409696,0.000000,4269377.940273,4292223.530471,-719810.645514,4043089.805071
160,-23894246.560547,4604706.461074,0.000000,4269377.940273,4292223.530471,2600356.881013,4043089.805071
161,-23852335.105957,4610686.328935,0.000000,4269377.940273,4292223.530471,-401108.662894,4043089.805071
162,-23840074.453125,4612438.825387,0.000000,4269377.940273,4292223.530471,2004414.100302,4043089.805071
163,-23732978.658203,4627807.319573,0.000000,4269377.940273,4292223.530471,-806041.921957,4043089.805071
164,-23728801.541016,4628408.939983,0.000000,4269377.940273,4292223.530471,-391484.178235,4043089.805071
165,-23632247.019043,4642361.085026,0.000000,4269377.940273,4292223.530471,-1300500.255174,4043089.805071
166,-23603377.687500,4646549.624889,0.000000,4269377.940273,4292223.530471,2087480.577740,4043089.805071
167,-23205877.861816,4705000.311269,0.000000,4269377.940273,4292223.530471,1107440.848922,4043089.805071
168,-23112630.089844,4718918.924186,0.000000,4269377.940273,4292223.530471,-1258932.656341,4043089.805071
169,-22877310.714844,4754385.491078,0.000000,4269377.940273,4292223.530471,4227068.657691,4043089.805071
170,-22673728.355469,4785456.969502,0.000000,4269377.940273,4292223.530471,-1217750.831411,4043089.805071
171,-22005920.142090,4889820.688239,0.000000,4269377.940273,4292223.530471,39729.677474,4043089.805071
