leg,pay_date,obs_date,obs_time_model,obs_time_report,xva_state_at_obs,ore_flow_leg,ore_flow_pay_date,ore_flow_pay_time_model,ore_flow_pay_time_report,ore_flow_start_date,ore_flow_end_date,ore_flow_fixing_date,ore_flow_accrual,ore_flow_coupon,ore_flow_notional,ore_flow_sign,ore_flow_amount,py_portfolio_pay_date,py_portfolio_pay_time_model,py_portfolio_pay_time_report,py_portfolio_start_date,py_portfolio_end_date,py_portfolio_fixing_date,py_portfolio_accrual,py_portfolio_coupon,py_portfolio_notional,py_portfolio_sign,py_portfolio_amount,py_active_pay_date,py_active_pay_time_model,py_active_pay_time_report,py_active_start_date,py_active_end_date,py_active_fixing_date,py_active_accrual,py_active_coupon,py_active_notional,py_active_sign,py_active_amount,diff_portfolio_vs_ore_amount,diff_active_vs_ore_amount,diff_active_vs_portfolio_amount
float,2022-03-01,2016-03-07,0.0849315068,0.0846994536,dead,float,2022-03-01,6.071232876712329,6.066015420315892,2021-09-01,2022-03-01,2021-09-01,0.5027777778,0.0196262288,10000000.0,-1.0,-98676.3169,,,,,,,,,,,,,,,,,,,,,,,,,
float,2022-08-30,2016-03-07,0.0849315068,0.0846994536,projected,,,,,,,,,,,,,2022-08-30,6.570125009356988,6.564645557302193,2022-02-27,2022-08-30,2022-02-23,0.5111111111111111,0.0,10000000.0,-1.0,0.0,2022-08-30,6.570125009356988,6.564645557302193,2022-02-27,2022-08-30,2022-02-27,0.5111111111,0.0196278286,10000000.0,-1.0,-100320.0127,,,-100320.0127
float,2022-09-01,2016-03-07,0.0849315068,0.0846994536,dead,float,2022-09-01,6.575342465753424,6.570125009356988,2022-03-01,2022-09-01,2022-03-01,0.5111111111,0.0196278286,10000000.0,-1.0,-100320.0127,,,,,,,,,,,,,,,,,,,,,,,,,
float,2023-02-27,2016-03-07,0.0849315068,0.0846994536,projected,,,,,,,,,,,,,2023-02-27,7.066015420315892,7.060535968261098,2022-08-30,2023-02-27,2022-08-28,0.5027777777777778,0.0,10000000.0,-1.0,0.0,2023-02-27,7.066015420315892,7.060535968261098,2022-08-30,2023-02-27,2022-08-30,0.5027777778,0.0196242308,10000000.0,-1.0,-98666.2715,,,-98666.2715
float,2023-03-01,2016-03-07,0.0849315068,0.0846994536,dead,float,2023-03-01,7.071232876712329,7.066015420315892,2022-09-01,2023-03-01,2022-09-01,0.5027777778,0.0196242308,10000000.0,-1.0,-98666.2715,,,,,,,,,,,,,,,,,,,,,,,,,
float,2023-08-30,2016-03-07,0.0849315068,0.0846994536,projected,,,,,,,,,,,,,2023-08-30,7.570125009356988,7.564645557302193,2023-02-27,2023-08-30,2023-02-25,0.5111111111111111,0.0,10000000.0,-1.0,0.0,2023-08-30,7.570125009356988,7.564645557302193,2023-02-27,2023-08-30,2023-02-27,0.5111111111,0.019609744,10000000.0,-1.0,-100227.5802,,,-100227.5802
float,2023-09-01,2016-03-07,0.0849315068,0.0846994536,dead,float,2023-09-01,7.575342465753424,7.570125009356988,2023-03-01,2023-09-01,2023-03-01,0.5111111111,0.019609744,10000000.0,-1.0,-100227.5802,,,,,,,,,,,,,,,,,,,,,,,,,
float,2024-02-28,2016-03-07,0.0849315068,0.0846994536,projected,,,,,,,,,,,,,2024-02-28,8.068306010928962,8.062841530054644,2023-08-30,2024-02-28,2023-08-28,0.5055555555555555,0.0,10000000.0,-1.0,0.0,2024-02-28,8.068306010928962,8.062841530054644,2023-08-30,2024-02-28,2023-08-30,0.5055555556,0.0196086794,10000000.0,-1.0,-99132.768,,,-99132.768
float,2024-03-01,2016-03-07,0.0849315068,0.0846994536,dead,float,2024-03-01,8.073972602739726,8.068306010928962,2023-09-01,2024-03-01,2023-09-01,0.5055555556,0.0196086794,10000000.0,-1.0,-99132.768,,,,,,,,,,,,,,,,,,,,,,,,,
float,2024-08-30,2016-03-07,0.0849315068,0.0846994536,projected,,,,,,,,,,,,,2024-08-30,8.573770491803279,8.565573770491802,2024-02-28,2024-08-30,2024-02-26,0.5138888888888888,0.0,10000000.0,-1.0,0.0,2024-08-30,8.573770491803279,8.565573770491802,2024-02-28,2024-08-30,2024-02-28,0.5138888889,0.0196102763,10000000.0,-1.0,-100775.0309,,,-100775.0309
